object,class,source,metric,min_x,max_x,min_y,max_y,min_z,max_z,width,length,height
plate,plate,YCB,symmetric_z,-0.130075,0.130075,-0.130551,0.130551,-0.01336145,0.01336145,0.26015,0.261102,0.0267229
potted_meat_can,can,YCB,asymmetric,-0.02885198,0.02883195,-0.05076295,0.05075198,-0.04177099,0.04177194,0.05768393,0.101514935,0.08354293
power_drill,hardware_tools,YCB,asymmetric,-0.09222799,0.09210199,-0.09352898,0.09380596,-0.02778095,0.02940797,0.18432999,0.18733494,0.05718892
pudding_box,box,YCB,asymmetric,-0.04458695,0.045044,-0.05647999,0.05659699,-0.019831,0.01842498,0.08963095,0.113076985,0.038255982
rubiks_cube,box,YCB,asymmetric,-0.02941799,0.02931499,-0.02954494,0.02999997,-0.02897,0.02897,0.05873298,0.05954491,0.05794
scissors,scissors,YCB,asymmetric,-0.09643197,0.106045,-0.045524,0.04196596,-0.007706999,0.00793296,0.20247698,0.08748996,0.015639959
spoon,silverware,YCB,asymmetric,-0.09895098,0.09606796,-0.02277696,0.01879596,-0.009367942,0.01606696,0.19501895,0.04157292,0.0254349
sugar_box,box,YCB,asymmetric,-0.08776795,0.088566,-0.04601597,0.04685497,-0.02297598,0.02220696,0.17633395,0.092870936,0.04518294
tomato_soup_can,can,YCB,asymmetric,-0.03389799,0.03385698,-0.03395396,0.03395897,-0.05092799,0.05092799,0.06775497,0.067912936,0.10185598
tuna_fish_can,can,YCB,asymmetric,-0.04273897,0.04277294,-0.04283499,0.04274499,-0.01676899,0.01676899,0.08551191,0.08557998,0.03353798
wood_block,box,YCB,asymmetric,-0.1030009,0.1030009,-0.04575198,0.04418694,-0.04505097,0.04551798,0.2060018,0.08993892,0.09056895
